CustomerID,Age,Annual_Income,Spending_Score
1,56,29930,28
2,69,23285,83
3,46,143637,92
4,32,55863,91
5,60,36704,77
6,25,38705,38
7,38,20555,43
8,56,41323,21
9,36,90968,91
10,40,86922,62
11,28,73915,46
12,28,129543,70
13,41,30619,38
14,53,92390,49
15,57,148918,75
16,41,128500,81
17,20,134337,39
18,39,79274,71
19,19,93173,30
20,41,41225,21
21,61,131266,1
22,47,46739,89
23,55,67708,32
24,19,148041,8
25,38,73019,69
26,50,96154,30
27,29,122097,8
28,39,27373,19
29,61,55281,59
30,42,40187,55
31,66,87863,30
32,44,117927,79
33,59,127113,36
34,45,104085,55
35,33,137996,44
36,32,59220,27
37,64,142755,77
38,68,27642,78
39,61,99971,54
40,69,75556,48
41,20,53760,30
42,54,58192,39
43,68,144257,13
44,24,24381,16
45,38,116583,44
46,26,39558,71
47,56,50782,27
48,35,24782,45
49,21,111417,35
50,42,74712,79
51,31,125764,28
52,67,114945,99
53,26,39462,7
54,43,80030,62
55,19,88519,51
56,37,76411,46
57,45,75206,20
58,64,117469,96
59,24,66950,38
60,61,22523,61
61,25,80926,32
62,64,29677,26
63,52,95828,58
64,31,35089,39
65,34,24581,20
66,53,31907,82
67,67,25609,50
68,57,71153,79
69,21,70539,52
70,19,64143,86
71,23,42936,22
72,59,70182,53
73,21,128261,85
74,46,131259,66
75,35,119524,43
76,43,115042,82
77,61,33163,23
78,51,146686,77
79,27,79758,64
80,53,66057,9
81,31,32537,7
82,48,42419,41
83,65,62578,54
84,32,94991,65
85,25,141211,2
86,31,142762,4
87,40,94599,78
88,57,20834,32
89,38,52214,2
90,33,112934,64
91,62,143798,14
92,35,120028,20
93,64,141286,89
94,41,22413,49
95,43,29505,8
96,42,140681,92
97,62,122802,63
98,58,22105,46
99,46,88104,21
100,32,148303,87
101,62,127634,32
102,18,134897,8
103,42,78408,95
104,24,57679,16
105,26,136908,40
106,41,134921,27
107,18,119096,18
108,61,99731,35
109,25,132205,52
110,41,85131,15
111,28,84280,63
112,68,35762,53
113,34,137798,91
114,25,136854,81
115,52,126830,66
116,52,78703,31
117,50,101434,61
118,22,83079,64
119,59,41577,98
120,56,21214,34
121,58,106339,55
122,45,68114,59
123,24,109234,3
124,26,83230,17
125,25,143163,78
126,29,52980,78
127,51,87194,46
128,50,97806,38
129,65,132333,35
130,40,57792,1
131,41,65807,29
132,54,144297,4
133,52,145266,61
134,61,42301,97
135,57,25141,17
136,39,136482,28
137,44,124292,50
138,52,142984,90
139,18,33777,8
140,52,58346,34
141,54,74703,59
142,64,114977,18
143,31,67819,95
144,20,48469,59
145,18,23845,27
146,22,130186,16
147,43,43290,10
148,31,132551,76
149,56,50699,22
150,44,64252,16
151,26,118682,12
152,32,23293,75
153,32,138017,84
154,43,139496,51
155,59,129934,1
156,30,77089,27
157,68,131964,67
158,49,36608,12
159,56,148713,30
160,66,86273,9
161,69,36619,53
162,49,98006,61
163,21,135399,54
164,47,107908,37
165,54,101653,65
166,40,34779,42
167,56,71040,49
168,62,114830,4
169,32,76325,64
170,60,135947,79
171,46,41630,51
172,53,125575,91
173,30,135436,72
174,49,32178,60
175,24,39935,87
176,68,67258,79
177,39,42784,91
178,45,83722,31
179,19,43027,72
180,59,116544,94
181,62,77853,58
182,23,132167,82
183,45,87359,4
184,45,92388,22
185,61,98608,3
186,61,96669,79
187,37,35111,99
188,47,52312,47
189,28,149321,38
190,45,44161,33
191,42,138920,78
192,56,124823,48
193,50,145014,65
194,18,87313,26
195,44,70374,8
196,69,44014,50
197,30,100308,80
198,58,66389,38
199,20,130163,10
200,56,38161,42
201,23,127800,37
202,25,27490,26
203,44,139547,92
204,26,127197,12
205,54,44502,84
206,50,55757,49
207,68,61111,14
208,59,118273,46
209,61,103245,35
210,41,78645,29
211,32,130218,12
212,49,79055,82
213,49,139815,44
214,41,28998,66
215,58,48906,2
216,69,121026,59
217,66,90192,17
218,66,70477,10
219,69,56901,18
220,29,111271,22
