Title,Genre,Year,Rating,CriticsScore,AudienceScore
Movie 1,Romance,2018,6.1,46.3,92.8
Movie 2,Documentary,2008,6.2,91.7,89.1
Movie 3,Thriller,1994,5.4,76.6,51.1
Movie 4,Action,2022,6.8,58.9,47
Movie 5,Comedy,1987,3.1,57.7,60
Movie 6,Adventure,2000,6,41.3,31.9
Movie 7,Sci-Fi,2018,4.3,56.8,14.7
Movie 8,Romance,1998,7,69,94.5
Movie 9,Animation,2002,2.3,47.7,26.8
Movie 10,Thriller,1990,6.1,74.3,27.9
Movie 11,Adventure,1990,2.7,87.5,52.5
Movie 12,Sci-Fi,2003,3.5,23.9,54.2
Movie 13,Drama,2015,3,50.6,11.7
Movie 14,Documentary,2019,2.6,46.7,23.3
Movie 15,Sci-Fi,2003,8.4,71.9,44
Movie 16,Animation,1982,3.6,32.5,71.5
Movie 17,Drama,2001,9.3,67.6,30.6
Movie 18,Drama,1981,9.7,89,48.1
Movie 19,Comedy,2003,6.1,47.6,60.2
Movie 20,Action,2023,2.3,92,90
Movie 21,Horror,2009,4.4,99.4,39.3
Movie 22,Horror,2017,8.2,19.5,22
Movie 23,Sci-Fi,1981,4.3,31,54
Movie 24,Comedy,2000,1.8,95.5,77.2
Movie 25,Animation,2012,6,96.2,19.9
Movie 26,Thriller,1991,8.6,18.8,48.2
Movie 27,Horror,2001,8.2,11.3,11.6
Movie 28,Sci-Fi,2023,2.6,24.5,13
Movie 29,Drama,2004,7.1,99.6,53.5
Movie 30,Drama,2006,3,26.2,36.8
Movie 31,Animation,2021,3,55.2,86.1
Movie 32,Comedy,2007,8.9,86.4,64.2
Movie 33,Thriller,1995,3.2,11.8,50.9
Movie 34,Documentary,1994,3.4,64.4,46.7
Movie 35,Animation,2023,1,34.9,54.8
Movie 36,Action,1982,8.8,87.6,13.6
Movie 37,Romance,2016,8.1,35.5,90.4
Movie 38,Adventure,1986,6.6,71.8,99.8
Movie 39,Horror,2000,7.8,70.7,26.3
Movie 40,Action,1988,2.4,29.9,20.8
Movie 41,Romance,2018,5.1,13.1,22.9
Movie 42,Documentary,1997,4.2,46.8,69.5
Movie 43,Action,1983,1.8,36,69.5
Movie 44,Sci-Fi,2004,5.4,82.8,86.3
Movie 45,Sci-Fi,1993,9.3,82,77.7
Movie 46,Horror,1988,1.4,51.1,50.5
Movie 47,Sci-Fi,2005,3.6,64.6,65.2
Movie 48,Comedy,1981,2.9,64.4,71.9
Movie 49,Thriller,1999,3.1,84.4,56.1
Movie 50,Action,2007,9.2,48.3,52.8
Movie 51,Romance,1986,5.2,34.8,68.1
Movie 52,Comedy,2023,5.2,33.9,60.2
Movie 53,Thriller,1987,7.8,58.3,68
Movie 54,Animation,2014,2.4,50.4,65.2
Movie 55,Horror,1993,5.4,49.6,74.7
Movie 56,Sci-Fi,1996,4.9,18.2,67.9
Movie 57,Sci-Fi,2015,6.4,74.7,56.8
Movie 58,Comedy,2019,10,29.2,71.4
Movie 59,Thriller,1983,7.9,27.7,50.5
Movie 60,Thriller,1981,4.6,47.1,31.8
Movie 61,Sci-Fi,1985,8.4,30.5,10.1
Movie 62,Animation,2021,2.5,62.5,60.4
Movie 63,Comedy,1983,1.3,43.4,63.2
Movie 64,Documentary,2008,2.8,50.4,97.5
Movie 65,Drama,1997,4.1,58.3,42.5
Movie 66,Romance,2005,5.6,28.3,45.5
Movie 67,Horror,2023,6.5,24,28.2
Movie 68,Romance,2013,9.2,89.2,16.3
Movie 69,Documentary,1989,5.6,49,79.6
Movie 70,Animation,2015,5.5,47.1,32.5
Movie 71,Sci-Fi,1993,1.5,13.2,64.8
Movie 72,Action,2010,1.3,54.8,71.9
Movie 73,Adventure,1994,6,59.9,52.4
Movie 74,Adventure,1987,4.9,60.3,88.9
Movie 75,Sci-Fi,1993,8.6,73.6,49.9
Movie 76,Comedy,2002,2.4,26,35.6
Movie 77,Drama,2019,1.2,32.7,90.6
Movie 78,Documentary,2000,5,83,87.5
Movie 79,Comedy,1995,3.1,95.2,24.8
Movie 80,Action,2024,1.4,22.2,12.3
Movie 81,Thriller,1997,7.5,54.8,18.1
Movie 82,Comedy,2003,2,29.3,35.8
Movie 83,Action,2005,6.5,15.4,97.5
Movie 84,Romance,2004,3.5,39.3,60.3
Movie 85,Action,2024,2.6,22.9,43.6
Movie 86,Documentary,2020,4.4,73.9,90
Movie 87,Sci-Fi,2008,8.2,58,50.8
Movie 88,Drama,1994,4.5,22.9,38.4
Movie 89,Thriller,2024,7.8,10.8,94.7
Movie 90,Sci-Fi,1980,2.1,82.7,86.5
Movie 91,Animation,2004,8,25.9,85.9
Movie 92,Sci-Fi,1986,3.1,64.6,56.1
Movie 93,Romance,1988,7.1,40.3,81
Movie 94,Romance,2003,6.1,62.7,26.1
Movie 95,Romance,1980,9.4,38.4,61.6
Movie 96,Adventure,2023,4.5,17.8,98.5
Movie 97,Thriller,1987,1.6,30.1,36.2
Movie 98,Animation,2003,1.2,26.9,81.5
Movie 99,Documentary,1990,8.4,48.5,54.1
Movie 100,Action,1996,5.7,69.2,13.6
Movie 101,Adventure,1987,8,33.7,78.7
Movie 102,Drama,2014,3.1,11.1,25.2
Movie 103,Horror,2014,4.1,56.7,66.8
Movie 104,Action,2012,1.3,64.5,17.7
Movie 105,Animation,1984,9.7,96.7,95.2
Movie 106,Horror,2021,7,63.1,36.3
Movie 107,Sci-Fi,2018,9.4,52.4,30.4
Movie 108,Romance,2020,3.4,61.6,21.6
Movie 109,Drama,2007,6.5,93.5,95.1
Movie 110,Documentary,1986,7.1,84.6,74.1
Movie 111,Documentary,1988,3.9,39.1,76.7
Movie 112,Comedy,1987,8.6,31.4,54.9
Movie 113,Sci-Fi,1991,9.5,33.6,52.7
Movie 114,Horror,2013,9,55.4,19.9
Movie 115,Thriller,2012,7.7,77,60.4
Movie 116,Thriller,2002,3.5,55.3,32.2
Movie 117,Thriller,2003,3.5,16.1,97.9
Movie 118,Drama,2016,9.7,75.1,81.7
Movie 119,Horror,2014,1.1,82.5,47.2
Movie 120,Action,2023,7.4,36.1,23.6
Movie 121,Sci-Fi,2019,7.4,69.8,80.7
Movie 122,Comedy,2001,6.6,48.4,21
Movie 123,Sci-Fi,2006,9.9,90,27
Movie 124,Horror,2014,3.8,86.1,29
Movie 125,Sci-Fi,1980,4.1,57.3,60.1
Movie 126,Drama,2014,1.7,72.2,80.8
Movie 127,Documentary,2016,5,89.5,38.3
Movie 128,Romance,1993,3.3,54.6,17.6
Movie 129,Comedy,1982,4.1,38.2,51.8
Movie 130,Comedy,1980,8.5,77.8,77.3
Movie 131,Sci-Fi,1984,9.4,29.8,29.9
Movie 132,Horror,2005,2.7,45,29.8
Movie 133,Documentary,1993,4.4,87.9,95.3
Movie 134,Drama,2018,9.4,75.2,95.9
Movie 135,Comedy,2006,1.6,46.3,99.1
Movie 136,Comedy,1988,1.8,29.3,82.7
Movie 137,Thriller,1994,2.5,42,26.9
Movie 138,Action,1994,6.4,35.6,29.1
Movie 139,Animation,2005,2.4,25.8,40.6
Movie 140,Sci-Fi,2021,9.7,76.9,38.6
Movie 141,Sci-Fi,1992,5,32.7,96.1
Movie 142,Comedy,2011,5.5,50.9,81
Movie 143,Animation,2018,3.2,44.7,75.2
Movie 144,Action,2011,5.2,98.4,26.7
Movie 145,Thriller,1983,7,45.2,91.9
Movie 146,Adventure,2009,7.8,17.2,84.5
Movie 147,Documentary,2016,7.8,18.1,24.7
Movie 148,Horror,2002,6.2,63.2,88.4
Movie 149,Comedy,2018,9.1,63.9,34.5
Movie 150,Comedy,2024,8.4,47.7,17.3
Movie 151,Romance,1994,7.8,48.9,69.1
Movie 152,Thriller,2022,1.5,14.9,68.8
Movie 153,Documentary,2008,1.1,56.5,18.5
Movie 154,Action,2015,2.9,55.4,38.7
Movie 155,Romance,1992,7,23.5,99.4
Movie 156,Sci-Fi,2011,4.7,19.3,71.1
Movie 157,Comedy,1986,4.6,21.1,75.7
Movie 158,Action,2001,9,19.1,29.2
Movie 159,Documentary,2007,9.1,64.9,17.1
Movie 160,Romance,1981,9.2,27.7,34.9
Movie 161,Action,2021,3.8,32.6,32.4
Movie 162,Sci-Fi,2024,7.2,25.6,31.1
Movie 163,Thriller,1985,3.4,96.2,27.3
Movie 164,Drama,2007,2.7,86.9,61.7
Movie 165,Action,2007,2.7,30.7,39.5
Movie 166,Drama,2023,4.1,39.5,83.8
Movie 167,Sci-Fi,2023,4.9,28.9,26.6
Movie 168,Action,1999,8.5,54.3,51.8
Movie 169,Documentary,2009,2.1,11.8,11.2
Movie 170,Thriller,1990,7.6,70.4,53.4
Movie 171,Comedy,2007,5.8,57.1,15
Movie 172,Romance,2004,3.6,90.9,98
Movie 173,Drama,2018,5.4,24.8,81.2
Movie 174,Animation,2012,3.7,82.4,54.1
Movie 175,Animation,1980,6.4,81.3,17.8
Movie 176,Animation,2006,4.9,21.4,63.3
Movie 177,Sci-Fi,1992,2.5,45.9,78.3
Movie 178,Action,2020,2,25.3,27.2
Movie 179,Sci-Fi,1982,5.9,32.9,61.1
Movie 180,Animation,2018,9.1,33.7,83.3
Movie 181,Drama,1985,4.1,60.1,79.1
Movie 182,Comedy,1987,7.6,47,82.3
Movie 183,Horror,2006,6.9,95.3,89.1
Movie 184,Animation,1988,9.4,21.4,94.4
Movie 185,Documentary,2016,8.4,97.6,46.5
Movie 186,Drama,2012,6.1,30.8,61.2
Movie 187,Comedy,2021,6.9,79.6,81.2
Movie 188,Thriller,2023,9.1,40.5,72.7
Movie 189,Romance,2003,4.6,22.9,99.6
Movie 190,Thriller,1994,3.9,87.2,11.2
Movie 191,Animation,2011,1.1,37.8,42
Movie 192,Documentary,2011,8.4,69.3,35.3
Movie 193,Sci-Fi,2003,8.2,61,33.6
Movie 194,Documentary,2020,1.9,52.5,30
Movie 195,Adventure,1991,6.2,54.6,73.8
Movie 196,Thriller,2018,5.2,75.9,17.6
Movie 197,Thriller,1981,2.1,17.9,76.7
Movie 198,Adventure,1982,9.8,70.1,72.4
Movie 199,Romance,2016,2.9,90.6,32.6
Movie 200,Romance,1996,1.6,15.2,32.8
Movie 201,Drama,1981,6.4,22.7,66.6
Movie 202,Romance,1981,7.6,74.5,78.6
Movie 203,Sci-Fi,2007,1.3,49.4,88.9
Movie 204,Sci-Fi,2002,6.9,46.3,86.7
Movie 205,Documentary,2016,5.8,22.3,96.8
Movie 206,Comedy,2011,1.9,55.6,62.3
Movie 207,Documentary,2012,2.6,21.4,91.8
Movie 208,Sci-Fi,1980,6.1,52.9,82.8
Movie 209,Comedy,1998,3.7,78.7,90.5
Movie 210,Thriller,1981,9.4,33.2,11
Movie 211,Documentary,2023,8.4,53.3,96.9
Movie 212,Documentary,2005,9.9,99.3,52.6
Movie 213,Horror,2011,3.3,71.8,81.8
Movie 214,Sci-Fi,1985,9.7,85.7,21.4
Movie 215,Horror,2011,4.9,47.3,45.6
Movie 216,Sci-Fi,1983,4.1,79.1,34.4
Movie 217,Thriller,1990,1.5,13.6,36.2
Movie 218,Drama,1996,1.5,21.1,21.1
Movie 219,Horror,2017,7.2,28.3,82.5
Movie 220,Sci-Fi,2003,5.1,46.2,10.8
Movie 221,Documentary,1984,3,86.1,38.1
Movie 222,Adventure,2013,6.5,41.2,25.7
Movie 223,Sci-Fi,1985,3.3,68.9,63
Movie 224,Romance,2001,6.2,73.8,32.9
Movie 225,Animation,1990,4.2,62.8,33.3
Movie 226,Documentary,1995,8.4,42.2,54
Movie 227,Comedy,2012,8.4,61.9,68.7
Movie 228,Romance,1988,5.3,40.8,20.9
Movie 229,Drama,1985,4.2,17.5,25.8
Movie 230,Comedy,1995,4.3,99.4,32.2
Movie 231,Romance,2008,8.3,21.4,97.6
Movie 232,Animation,1982,4,16.5,45.7
Movie 233,Drama,1999,2.9,89.1,63.9
Movie 234,Horror,2015,1.8,37.2,31.7
Movie 235,Documentary,1998,5.2,68.5,54.1
Movie 236,Horror,2005,5.3,39.6,16.7
Movie 237,Comedy,1982,8.6,45.2,13.1
Movie 238,Action,1998,3,33.6,52.2
Movie 239,Animation,1999,4.4,40.9,45.9
Movie 240,Thriller,2011,8.3,47,22.3
Movie 241,Adventure,1986,8.4,74.8,71.9
Movie 242,Comedy,2020,4.5,56,99.4
Movie 243,Comedy,2012,5.1,94.9,45.6
Movie 244,Adventure,2019,3.7,13.8,66.2
Movie 245,Romance,2018,9.4,55.3,96.7
Movie 246,Documentary,1997,2.1,62.6,84.8
Movie 247,Adventure,2019,9.4,92.8,51.7
Movie 248,Animation,1980,7.2,14.4,76.4
Movie 249,Thriller,1990,5.8,61.6,21.5
Movie 250,Action,2007,1.3,86.8,56.1
Movie 251,Adventure,2004,5.3,31.8,35.1
Movie 252,Adventure,2002,4.7,88.9,24.5
Movie 253,Drama,2010,2.5,11.7,48.4
Movie 254,Documentary,2009,6.9,75.9,21.8
Movie 255,Romance,2021,9.7,94,72.9
Movie 256,Documentary,2014,6.1,69.1,51.1
Movie 257,Drama,1986,7.4,49.5,57.8
Movie 258,Sci-Fi,1995,1.6,14,23.2
